CellCurrent [A],CellCurrentDensity [A/cm2],CurrentMinGasFlow [A],Stoic Anode,Stoic Cathode,CellVoltage [V],PressureAnodeInlet [kPag],PressureAnodeOutlet [kPag],PressureCathodeInlet [kPag],PressureCathodeOutlet [kPag],DewPointTemperatureAnode [°C],DewPointTemperatureCathode [°C],TemperatureCoolantInlet [°C],TemperatureCoolantOutlet [°C]
"503,8","1,80","84,0","1,50","1,70","0,618","171,0","160,0","168,9","150,1","54,7","48,3","71,8","80,6"
"454,0","1,62","84,0","1,50","1,70","0,638","169,5","160,0","166,2","150,0","54,8","47,9","69,2","77,2"
"403,3","1,44","84,0","1,50","1,70","0,658","168,5","160,1","163,7","150,1","54,6","47,7","69,1","76,1"
"353,3","1,26","84,0","1,50","1,70","0,676","167,3","160,0","161,5","150,0","54,8","47,4","69,3","75,3"
"302,5","1,08","84,0","1,50","1,70","0,694","166,5","160,1","159,4","150,0","54,8","47,4","69,3","74,3"
"251,8","0,90","84,0","1,50","1,70","0,711","165,4","159,9","157,4","150,0","54,8","47,4","69,2","73,3"
"218,2","0,78","84,0","1,50","1,70","0,723","164,5","159,9","156,2","150,0","54,9","47,6","69,4","73,0"
"201,5","0,72","84,0","1,50","1,70","0,729","164,2","160,0","155,7","150,0","54,8","47,7","69,7","73,0"
"150,8","0,54","84,0","1,50","1,70","0,749","163,4","160,0","153,8","149,9","54,9","48,0","69,2","71,7"
"125,8","0,45","84,0","1,50","1,70","0,760","163,1","160,1","153,1","150,0","55,1","48,3","69,9","71,8"
"100,5","0,36","84,0","1,50","1,70","0,772","162,5","160,1","152,2","150,0","55,2","48,6","69,8","71,4"
"74,9","0,27","84,0","1,50","1,70","0,789","162,3","160,1","151,6","150,1","55,3","48,8","69,5","70,6"
"49,7","0,18","84,0","1,50","1,70","0,813","162,2","159,9","151,6","150,0","55,3","49,1","69,0","69,7"
"24,6","0,09","84,0","1,50","1,70","0,846","162,2","160,0","151,6","150,0","55,1","49,3","68,8","69,0"
"9,4","0,03","84,0","1,50","1,70","0,878","162,3","160,0","151,4","150,1","55,0","49,5","68,9","68,9"
"0,0","0,00","84,0","1,50","1,70","0,951","162,0","160,0","151,2","150,0","55,0","49,8","69,3","69,2"
"9,4","0,03","84,0","1,50","1,70","0,865","161,9","160,0","151,2","150,1","54,9","49,9","70,0","70,1"
"24,6","0,09","84,0","1,50","1,70","0,832","161,9","160,0","151,1","150,0","54,8","50,1","70,6","70,9"
"49,7","0,18","84,0","1,50","1,70","0,805","162,3","160,0","151,4","149,9","54,8","50,4","71,1","71,8"
"75,0","0,27","84,0","1,50","1,70","0,782","162,2","160,0","151,7","150,1","54,8","50,5","71,3","72,5"
"100,5","0,36","84,0","1,50","1,70","0,766","162,5","159,9","152,3","150,0","54,8","50,9","70,6","72,2"
"125,8","0,45","84,0","1,50","1,70","0,753","163,1","160,0","152,9","150,0","54,7","51,3","70,1","72,1"
"150,9","0,54","84,0","1,50","1,70","0,742","163,5","160,0","153,8","150,0","54,6","51,5","70,2","72,7"
"201,6","0,72","84,0","1,50","1,70","0,722","164,2","160,0","155,6","150,0","54,6","51,5","70,7","74,0"
"218,6","0,78","84,0","1,50","1,70","0,716","164,8","160,1","156,2","150,1","54,6","51,3","70,1","73,7"
"252,1","0,90","84,0","1,50","1,70","0,704","165,4","160,0","157,6","150,0","54,7","51,0","70,3","74,5"
"302,9","1,08","84,0","1,50","1,70","0,687","166,5","160,0","159,3","150,0","54,6","50,7","70,8","75,8"
"353,4","1,26","84,0","1,50","1,70","0,670","167,5","159,9","161,7","150,0","54,7","50,1","70,6","76,6"
"404,3","1,44","84,0","1,50","1,70","0,653","168,6","160,1","163,9","150,1","54,7","49,4","70,8","77,7"
"454,9","1,62","84,0","1,50","1,70","0,635","169,5","160,0","166,2","150,0","54,8","48,6","71,0","78,8"
"504,6","1,80","84,0","1,50","1,70","0,617","170,8","160,0","168,8","150,1","54,8","48,0","71,3","80,1"
