Teil der Merit-Order?;MaStR-Nr. ;ÜNB;Status;Anlagenbetreiber;Anzeige-Name;PLZ der Einheit;Ort der Einheit;"Straße und Hausnummer
der Einheit";Bundesland der Einheit;Datum der erstmaligen Inbetriebnahme der Einheit;Energieträger;Hauptbrennstoff;Auswertung Energieträger;Wärmeauskopplung (KW) ja/nein;Technologie der Stromerzeugung;Angenommener Hauptenergieträger ;Zuordnung Kraftwerkstyp;Effizienz;Quelle Effizienz;Bruttoleistung [MW];"Netto-Nennleistung
(elektrische Wirkleistung) [MW]";"Mittlere verfügbare
Netto-Nennleistung [MW]";Brennstoffkosten (inkl. Transport) [EUR/MWHth];Grenzkosten [EUR/MWHel]
Ja;SEE987512757786;50Hertz;In Betrieb;ArcelorMittal Eisenhüttenstadt GmbH;IKW Block 8;15890;Eisenhüttenstadt;Jugendstraße 1;Brandenburg;19725;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,33;Annahme basierend auf DIW (2014);89,717;88,11;76,6557;40,69;166,5434848
Ja;SEE961788817153;50Hertz;In Betrieb;BASF Schwarzheide GmbH;DT2;01987;Schwarzheide;Schipkauer Straße 1;Brandenburg;35769;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Kondensationsmaschine ohne Entnahme;Erdgas;GuD;0,513;OPSD (2020);12,3;12;10,44;40,69;107,989961
Ja;SEE971164680486;50Hertz;In Betrieb;BASF Schwarzheide GmbH;DT1;01987;Schwarzheide;Schipkauer Straße 1;Brandenburg;34666;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,513;OPSD (2020);25,84;25,517;22,19979;40,69;107,989961
Ja;SEE918705951896;50Hertz;In Betrieb;BASF Schwarzheide GmbH;GT2;01987;Schwarzheide;Schipkauer Straße 1;Brandenburg;34666;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,513;OPSD (2020);40,94;40,428;35,17236;40,69;107,489961
Ja;SEE904165703137;50Hertz;In Betrieb;BASF Schwarzheide GmbH;GT1;01987;Schwarzheide;Schipkauer Straße 1;Brandenburg;34666;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,513;OPSD (2020);52;51,35;44,6745;40,69;107,489961
Ja;SEE963909310185;50Hertz;In Betrieb;BEW Berliner Energie und Wärme AG;HKW Moabit Gasturbine 5;13353;Berlin;Friedrich-Krause-Ufer 42278;Berlin;26236;Mineralölprodukte;Heizöl, leicht;Mineralölprodukte;Nein;Gasturbinen ohne Abhitzekessel;Öl;Öl;0,3046;OPSD (2020);17;17;14,45;95,89;379,5554826
Ja;SEE992645841813;50Hertz;In Betrieb;BEW Berliner Energie und Wärme AG;HKW Moabit Gasturbine 6;13353;Berlin;Friedrich-Krause-Ufer 42278;Berlin;26264;Mineralölprodukte;Heizöl, leicht;Mineralölprodukte;Nein;Gasturbinen ohne Abhitzekessel;Öl;Öl;0,3046;OPSD (2020);17;17;14,45;95,89;379,5554826
Ja;SEE988848971327;50Hertz;In Betrieb;BEW Berliner Energie und Wärme AG;HKW Reuter, Dampfturbine M;13599;Berlin;Otternbuchtstraße 11;Berlin;35830;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,33;OPSD (2020);36,36;36;30,6;95,59;335,6390909
Ja;SEE997719859992;50Hertz;In Betrieb;BEW Berliner Energie und Wärme AG;HKW Klingenberg Dampfturbine 1;10317;Berlin;Köpenicker Chaussee 42-45;Berlin;29811;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,4037;OPSD (2020);60;52;45,24;40,69;136,8216497
Ja;SEE988684097793;50Hertz;In Betrieb;BEW Berliner Energie und Wärme AG;HKW Klingenberg Dampfturbine 2;10317;Berlin;Köpenicker Chaussee 42-45;Berlin;29914;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,4037;OPSD (2020);64;56;48,72;40,69;136,8216497
