Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.01.2024 00:00;01.01.2024 00:15;2.281,00;2.399,00;118,00;59,25
01.01.2024 00:15;01.01.2024 00:30;2.255,50;2.374,00;118,50;81,25
01.01.2024 00:30;01.01.2024 00:45;2.230,25;2.386,75;156,50;69,50
01.01.2024 00:45;01.01.2024 01:00;2.197,00;2.371,50;174,50;14,75
01.01.2024 01:00;01.01.2024 01:15;2.190,00;2.364,00;174,00;27,00
01.01.2024 01:15;01.01.2024 01:30;2.163,25;2.342,50;179,25;-19,50
01.01.2024 01:30;01.01.2024 01:45;2.133,00;2.308,25;175,25;25,50
01.01.2024 01:45;01.01.2024 02:00;2.114,25;2.292,50;178,25;-15,25
01.01.2024 02:00;01.01.2024 02:15;2.116,50;2.373,75;257,25;1,75
01.01.2024 02:15;01.01.2024 02:30;2.105,75;2.363,25;257,50;-21,25
01.01.2024 02:30;01.01.2024 02:45;2.075,50;2.333,00;257,50;-101,25
01.01.2024 02:45;01.01.2024 03:00;2.057,25;2.314,50;257,25;-125,75
01.01.2024 03:00;01.01.2024 03:15;2.049,50;2.306,75;257,25;-103,00
01.01.2024 03:15;01.01.2024 03:30;2.026,25;2.284,00;257,75;-80,75
01.01.2024 03:30;01.01.2024 03:45;2.023,50;2.281,25;257,75;-58,50
01.01.2024 03:45;01.01.2024 04:00;2.031,50;2.291,00;259,50;-48,00
01.01.2024 04:00;01.01.2024 04:15;2.035,75;2.344,00;308,25;-72,50
01.01.2024 04:15;01.01.2024 04:30;2.026,75;2.334,25;307,50;-107,00
01.01.2024 04:30;01.01.2024 04:45;2.027,00;2.334,25;307,25;-92,00
01.01.2024 04:45;01.01.2024 05:00;2.018,75;2.328,25;309,50;-45,75
01.01.2024 05:00;01.01.2024 05:15;2.025,50;2.398,00;372,50;2,00
01.01.2024 05:15;01.01.2024 05:30;2.008,00;2.380,50;372,50;22,50
01.01.2024 05:30;01.01.2024 05:45;1.983,50;2.355,50;372,00;50,25
01.01.2024 05:45;01.01.2024 06:00;1.965,50;2.337,25;371,75;41,00
01.01.2024 06:00;01.01.2024 06:15;1.957,75;2.329,00;371,25;5,75
01.01.2024 06:15;01.01.2024 06:30;1.953,75;2.325,00;371,25;47,00
01.01.2024 06:30;01.01.2024 06:45;1.942,75;2.313,50;370,75;94,50
01.01.2024 06:45;01.01.2024 07:00;1.947,25;2.317,50;370,25;100,75
01.01.2024 07:00;01.01.2024 07:15;1.966,50;2.224,75;258,25;103,50
01.01.2024 07:15;01.01.2024 07:30;1.977,75;2.222,00;244,25;116,75
01.01.2024 07:30;01.01.2024 07:45;1.991,00;2.226,25;235,25;113,50
01.01.2024 07:45;01.01.2024 08:00;1.997,00;2.236,00;239,00;94,75
01.01.2024 08:00;01.01.2024 08:15;2.013,25;2.285,00;271,75;34,00
01.01.2024 08:15;01.01.2024 08:30;2.006,25;2.317,00;310,75;28,50
01.01.2024 08:30;01.01.2024 08:45;2.019,00;2.343,75;324,75;3,25
01.01.2024 08:45;01.01.2024 09:00;2.044,25;2.432,25;388,00;-19,25
01.01.2024 09:00;01.01.2024 09:15;2.076,50;2.511,75;435,25;-33,00
01.01.2024 09:15;01.01.2024 09:30;2.100,25;2.538,75;438,50;-78,25
01.01.2024 09:30;01.01.2024 09:45;2.124,75;2.624,25;499,50;-100,50
